Date,Revenue,COGS,Split,year,month,day,day_of_week,is_weekend,quarter,is_month_start,is_month_end,month_sin,month_cos,dow_sin,dow_cos,is_holiday,is_tet,active_promos,rev_lag_1,cogs_lag_1,rev_lag_7,cogs_lag_7,rev_lag_14,cogs_lag_14,rev_lag_30,cogs_lag_30,rev_lag_365,cogs_lag_365
2013-07-19,6310739.5,5960928.51,Train,2013,7,19,4,0,3,0,0,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0,0,1,6265533.39,6163756.55,6053300.71,5886949.95,2494107.65,2432073.97,7437341.02,6031157.35,6421487.11,5007270.91
2013-07-20,4157746.85,3978173.28,Train,2013,7,20,5,1,3,0,0,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0,0,1,6310739.5,5960928.51,4161301.31,3995435.41,2452372.43,2331799.51,7078652.68,5515676.8,5171470.46,4213989.64
2013-07-21,4847680.2,4301699.27,Train,2013,7,21,6,1,3,0,0,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0,0,1,4157746.85,3978173.28,4482102.22,4419156.67,2958215.01,2950992.63,5526354.45,4396745.86,3442157.02,2746075.45
2013-07-22,5926190.4,5032346.99,Train,2013,7,22,0,0,3,0,0,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0,0,1,4847680.2,4301699.27,4387240.36,4219310.04,2571901.18,2450996.77,5117274.96,4111300.17,3117550.57,2531656.38
2013-07-23,4436778.28,3552350.42,Train,2013,7,23,1,0,3,0,0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0,0,0,5926190.4,5032346.99,4411030.39,4135243.61,4624825.33,4592718.95,5844565.63,4855247.11,4730517.69,3685006.66
2013-07-24,7329505.1,5924978.27,Train,2013,7,24,2,0,3,0,0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0,0,0,4436778.28,3552350.42,4475453.64,4375610.63,3855254.64,3797797.81,5243774.5,4800223.91,4096496.12,3248450.65
2013-07-25,6342757.31,4978292.65,Train,2013,7,25,3,0,3,0,0,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0,0,0,7329505.1,5924978.27,6265533.39,6163756.55,5785320.61,5626075.87,6728887.1,6142934.34,5246688.08,4140019.37
2013-07-26,6941436.71,5543496.22,Train,2013,7,26,4,0,3,0,0,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0,0,0,6342757.31,4978292.65,6310739.5,5960928.51,6053300.71,5886949.95,8817278.13,8290194.65,5851965.06,4579171.74
2013-07-27,4353958.13,3499528.32,Train,2013,7,27,5,1,3,0,0,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0,0,0,6941436.71,5543496.22,4157746.85,3978173.28,4161301.31,3995435.41,7748199.74,7462815.86,5156699.45,3989402.2
2013-07-28,6017516.42,4917333.26,Train,2013,7,28,6,1,3,0,0,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0,0,0,4353958.13,3499528.32,4847680.2,4301699.27,4482102.22,4419156.67,6285354.21,6043485.1,4326956.84,3403662.59
2013-07-29,8158241.16,6599164.67,Train,2013,7,29,0,0,3,0,0,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0,0,0,6017516.42,4917333.26,5926190.4,5032346.99,4387240.36,4219310.04,9546012.78,9167617.84,4804199.65,3819645.91
2013-07-30,7711378.77,7073525.07,Train,2013,7,30,1,0,3,0,0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0,0,1,8158241.16,6599164.67,4436778.28,3552350.42,4411030.39,4135243.61,7372318.59,7149429.97,6586130.95,5195109.56
2013-07-31,10104475.36,10851542.12,Train,2013,7,31,2,0,3,0,1,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0,0,1,7711378.77,7073525.07,7329505.1,5924978.27,4475453.64,4375610.63,6359864.53,6248239.94,9151622.14,7142891.18
2013-08-01,10998208.4,12167214.07,Train,2013,8,1,3,0,3,1,0,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0,0,1,10104475.36,10851542.12,6342757.31,4978292.65,6265533.39,6163756.55,7209130.33,6927420.38,9148357.3,7308514.33
2013-08-02,7422715.15,9601836.11,Train,2013,8,2,4,0,3,0,0,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0,0,1,10998208.4,12167214.07,6941436.71,5543496.22,6310739.5,5960928.51,8038680.63,7869401.17,9692427.0,7537501.15
2013-08-03,5599602.67,7786528.35,Train,2013,8,3,5,1,3,0,0,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,0,0,1,7422715.15,9601836.11,4353958.13,3499528.32,4157746.85,3978173.28,2521315.44,2408274.98,9297269.95,7118808.46
2013-08-04,5021938.29,7089757.76,Train,2013,8,4,6,1,3,0,0,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,0,0,1,5599602.67,7786528.35,6017516.42,4917333.26,4847680.2,4301699.27,2494107.65,2432073.97,6384195.03,5087528.11
2013-08-05,2231563.34,3064145.21,Train,2013,8,5,0,0,3,0,0,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0,0,1,5021938.29,7089757.76,8158241.16,6599164.67,5926190.4,5032346.99,2452372.43,2331799.51,2359224.19,1863413.11
2013-08-06,2493225.51,3592496.3,Train,2013,8,6,1,0,3,0,0,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0,0,1,2231563.34,3064145.21,7711378.77,7073525.07,4436778.28,3552350.42,2958215.01,2950992.63,3630003.7,2922718.71
2013-08-07,2638845.23,3381813.66,Train,2013,8,7,2,0,3,0,0,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0,0,1,2493225.51,3592496.3,10104475.36,10851542.12,7329505.1,5924978.27,2571901.18,2450996.77,2240253.44,1781265.84
2013-08-08,3065089.0,4223344.7,Train,2013,8,8,3,0,3,0,0,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0,0,1,2638845.23,3381813.66,10998208.4,12167214.07,6342757.31,4978292.65,4624825.33,4592718.95,2617553.36,1997006.42
2013-08-09,2598855.08,3418548.13,Train,2013,8,9,4,0,3,0,0,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0,0,1,3065089.0,4223344.7,7422715.15,9601836.11,6941436.71,5543496.22,3855254.64,3797797.81,4478691.52,3621672.71
2013-08-10,1776113.02,2320738.01,Train,2013,8,10,5,1,3,0,0,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,0,0,1,2598855.08,3418548.13,5599602.67,7786528.35,4353958.13,3499528.32,5785320.61,5626075.87,3412496.65,2699279.56
2013-08-11,2074476.53,2834815.33,Train,2013,8,11,6,1,3,0,0,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,0,0,1,1776113.02,2320738.01,5021938.29,7089757.76,6017516.42,4917333.26,6053300.71,5886949.95,2732604.35,2168668.05
2013-08-12,1933036.01,2566277.36,Train,2013,8,12,0,0,3,0,0,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0,0,1,2074476.53,2834815.33,2231563.34,3064145.21,8158241.16,6599164.67,4161301.31,3995435.41,3388181.83,2654275.25
2013-08-13,2531884.21,3266499.42,Train,2013,8,13,1,0,3,0,0,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0,0,1,1933036.01,2566277.36,2493225.51,3592496.3,7711378.77,7073525.07,4482102.22,4419156.67,3928170.01,3189564.96
2013-08-14,2791478.67,3740726.27,Train,2013,8,14,2,0,3,0,0,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0,0,1,2531884.21,3266499.42,2638845.23,3381813.66,10104475.36,10851542.12,4387240.36,4219310.04,4033912.16,3258198.58
2013-08-15,3665019.45,4896607.22,Train,2013,8,15,3,0,3,0,0,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0,0,1,2791478.67,3740726.27,3065089.0,4223344.7,10998208.4,12167214.07,4411030.39,4135243.61,3780293.26,2886923.59
2013-08-16,3619170.1,4661015.06,Train,2013,8,16,4,0,3,0,0,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0,0,1,3665019.45,4896607.22,2598855.08,3418548.13,7422715.15,9601836.11,4475453.64,4375610.63,5249978.18,4222455.97
2013-08-17,3066137.96,4129676.85,Train,2013,8,17,5,1,3,0,0,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,0,0,1,3619170.1,4661015.06,1776113.02,2320738.01,5599602.67,7786528.35,6265533.39,6163756.55,4089284.05,3238908.92
2013-08-18,2385617.18,2947242.18,Train,2013,8,18,6,1,3,0,0,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,0,0,1,3066137.96,4129676.85,2074476.53,2834815.33,5021938.29,7089757.76,6310739.5,5960928.51,3450015.71,2808916.94
2013-08-19,2870843.18,3669528.41,Train,2013,8,19,0,0,3,0,0,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0,0,1,2385617.18,2947242.18,1933036.01,2566277.36,2231563.34,3064145.21,4157746.85,3978173.28,3904300.93,3006801.4
2013-08-20,2730112.88,3528369.0,Train,2013,8,20,1,0,3,0,0,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0,0,1,2870843.18,3669528.41,2531884.21,3266499.42,2493225.51,3592496.3,4847680.2,4301699.27,3541027.32,2827038.81
2013-08-21,2707776.73,3591906.04,Train,2013,8,21,2,0,3,0,0,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0,0,1,2730112.88,3528369.0,2791478.67,3740726.27,2638845.23,3381813.66,5926190.4,5032346.99,4147483.23,3364364.64
2013-08-22,3821233.2,5275320.79,Train,2013,8,22,3,0,3,0,0,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0,0,1,2707776.73,3591906.04,3665019.45,4896607.22,3065089.0,4223344.7,4436778.28,3552350.42,4597682.81,3562468.33
2013-08-23,3454696.96,4693020.59,Train,2013,8,23,4,0,3,0,0,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0,0,1,3821233.2,5275320.79,3619170.1,4661015.06,2598855.08,3418548.13,7329505.1,5924978.27,5478869.55,4195738.04
2013-08-24,2837188.07,4087795.83,Train,2013,8,24,5,1,3,0,0,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,0,0,1,3454696.96,4693020.59,3066137.96,4129676.85,1776113.02,2320738.01,6342757.31,4978292.65,4637850.57,3632210.67
2013-08-25,3018860.44,3945685.24,Train,2013,8,25,6,1,3,0,0,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,0,0,1,2837188.07,4087795.83,2385617.18,2947242.18,2074476.53,2834815.33,6941436.71,5543496.22,3589566.28,2784342.75
2013-08-26,3465971.03,4845153.03,Train,2013,8,26,0,0,3,0,0,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0,0,1,3018860.44,3945685.24,2870843.18,3669528.41,1933036.01,2566277.36,4353958.13,3499528.32,4280204.53,3476942.48
2013-08-27,3008572.56,3950990.04,Train,2013,8,27,1,0,3,0,0,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0,0,1,3465971.03,4845153.03,2730112.88,3528369.0,2531884.21,3266499.42,6017516.42,4917333.26,3038895.84,2365260.68
2013-08-28,3749158.5,4845899.79,Train,2013,8,28,2,0,3,0,0,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0,0,1,3008572.56,3950990.04,2707776.73,3591906.04,2791478.67,3740726.27,8158241.16,6599164.67,9508676.62,7439851.59
2013-08-29,6385124.62,8251851.88,Train,2013,8,29,3,0,3,0,0,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0,0,1,3749158.5,4845899.79,3821233.2,5275320.79,3665019.45,4896607.22,7711378.77,7073525.07,9260558.32,7336294.54
2013-08-30,5499141.72,7247803.25,Train,2013,8,30,4,0,3,0,0,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0,0,2,6385124.62,8251851.88,3454696.96,4693020.59,3619170.1,4661015.06,10104475.36,10851542.12,10086534.1,7950911.72
2013-08-31,6810100.27,8325085.12,Train,2013,8,31,5,1,3,0,1,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,0,0,2,5499141.72,7247803.25,2837188.07,4087795.83,3066137.96,4129676.85,10998208.4,12167214.07,9104678.52,7277460.12
2013-09-01,6018993.92,6937336.62,Train,2013,9,1,6,1,3,1,0,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,0,0,2,6810100.27,8325085.12,3018860.44,3945685.24,2385617.18,2947242.18,7422715.15,9601836.11,8560208.92,6738335.17
2013-09-02,5386759.65,5986639.99,Train,2013,9,2,0,0,3,0,0,-1.0,-1.8369701987210297e-16,0.0,1.0,1,0,2,6018993.92,6937336.62,3465971.03,4845153.03,2870843.18,3669528.41,5599602.67,7786528.35,2587099.44,1946097.28
2013-09-03,4126941.12,3701795.41,Train,2013,9,3,1,0,3,0,0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0,0,1,5386759.65,5986639.99,3008572.56,3950990.04,2730112.88,3528369.0,5021938.29,7089757.76,3865505.01,3063431.08
2013-09-04,5401049.96,4808183.3,Train,2013,9,4,2,0,3,0,0,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0,0,1,4126941.12,3701795.41,3749158.5,4845899.79,2707776.73,3591906.04,2231563.34,3064145.21,3645749.44,2876968.79
2013-09-05,3168900.6,2729766.04,Train,2013,9,5,3,0,3,0,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0,0,1,5401049.96,4808183.3,6385124.62,8251851.88,3821233.2,5275320.79,2493225.51,3592496.3,2398185.51,1966376.48
2013-09-06,2705040.33,2367475.06,Train,2013,9,6,4,0,3,0,0,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,0,0,1,3168900.6,2729766.04,5499141.72,7247803.25,3454696.96,4693020.59,2638845.23,3381813.66,2858227.37,2147909.96
2013-09-07,2468479.29,2187848.67,Train,2013,9,7,5,1,3,0,0,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,0,0,1,2705040.33,2367475.06,6810100.27,8325085.12,2837188.07,4087795.83,3065089.0,4223344.7,3282753.8,2580035.06
2013-09-08,3056823.21,2611808.27,Train,2013,9,8,6,1,3,0,0,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,0,0,1,2468479.29,2187848.67,6018993.92,6937336.62,3018860.44,3945685.24,2598855.08,3418548.13,3666204.89,2804001.32
2013-09-09,3771227.87,3399993.99,Train,2013,9,9,0,0,3,0,0,-1.0,-1.8369701987210297e-16,0.0,1.0,0,0,1,3056823.21,2611808.27,5386759.65,5986639.99,3465971.03,4845153.03,1776113.02,2320738.01,4458501.42,3589475.8
2013-09-10,5357130.97,4737093.81,Train,2013,9,10,1,0,3,0,0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0,0,1,3771227.87,3399993.99,4126941.12,3701795.41,3008572.56,3950990.04,2074476.53,2834815.33,4548962.79,3517300.88
2013-09-11,4636476.74,4075727.91,Train,2013,9,11,2,0,3,0,0,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0,0,1,5357130.97,4737093.81,5401049.96,4808183.3,3749158.5,4845899.79,1933036.01,2566277.36,4021565.55,3264364.41
2013-09-12,3865949.23,3502787.78,Train,2013,9,12,3,0,3,0,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0,0,1,4636476.74,4075727.91,3168900.6,2729766.04,6385124.62,8251851.88,2531884.21,3266499.42,3335978.29,2673690.65
2013-09-13,3034568.95,2783517.1,Train,2013,9,13,4,0,3,0,0,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,0,0,1,3865949.23,3502787.78,2705040.33,2367475.06,5499141.72,7247803.25,2791478.67,3740726.27,2609609.29,2103806.97
2013-09-14,3664631.38,3289032.18,Train,2013,9,14,5,1,3,0,0,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,0,0,1,3034568.95,2783517.1,2468479.29,2187848.67,6810100.27,8325085.12,3665019.45,4896607.22,3729228.43,2835412.27
2013-09-15,3078369.62,2753095.6,Train,2013,9,15,6,1,3,0,0,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,0,0,1,3664631.38,3289032.18,3056823.21,2611808.27,6018993.92,6937336.62,3619170.1,4661015.06,3605125.64,2849539.9
2013-09-16,3927167.34,3489729.16,Train,2013,9,16,0,0,3,0,0,-1.0,-1.8369701987210297e-16,0.0,1.0,0,0,1,3078369.62,2753095.6,3771227.87,3399993.99,5386759.65,5986639.99,3066137.96,4129676.85,4452012.44,3561492.95
2013-09-17,5410121.46,4728526.43,Train,2013,9,17,1,0,3,0,0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0,0,1,3927167.34,3489729.16,5357130.97,4737093.81,4126941.12,3701795.41,2385617.18,2947242.18,4811788.67,3932069.23
2013-09-18,4460453.69,3992756.75,Train,2013,9,18,2,0,3,0,0,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0,0,1,5410121.46,4728526.43,4636476.74,4075727.91,5401049.96,4808183.3,2870843.18,3669528.41,5078878.07,4123200.89
2013-09-19,2995364.48,2599191.98,Train,2013,9,19,3,0,3,0,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0,0,1,4460453.69,3992756.75,3865949.23,3502787.78,3168900.6,2729766.04,2730112.88,3528369.0,3680241.62,3014323.76
2013-09-20,3316913.08,3045593.87,Train,2013,9,20,4,0,3,0,0,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,0,0,1,2995364.48,2599191.98,3034568.95,2783517.1,2705040.33,2367475.06,2707776.73,3591906.04,3763143.75,3080273.62
2013-09-21,3799564.88,3399323.86,Train,2013,9,21,5,1,3,0,0,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,0,0,1,3316913.08,3045593.87,3664631.38,3289032.18,2468479.29,2187848.67,3821233.2,5275320.79,3943768.14,2978697.93
2013-09-22,3243304.2,2980813.06,Train,2013,9,22,6,1,3,0,0,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,0,0,1,3799564.88,3399323.86,3078369.62,2753095.6,3056823.21,2611808.27,3454696.96,4693020.59,3872374.03,3011266.74
2013-09-23,4426354.9,3977701.82,Train,2013,9,23,0,0,3,0,0,-1.0,-1.8369701987210297e-16,0.0,1.0,0,0,1,3243304.2,2980813.06,3927167.34,3489729.16,3771227.87,3399993.99,2837188.07,4087795.83,4118299.54,3294951.2
2013-09-24,4673257.46,4051335.39,Train,2013,9,24,1,0,3,0,0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0,0,1,4426354.9,3977701.82,5410121.46,4728526.43,5357130.97,4737093.81,3018860.44,3945685.24,5733263.53,4585762.62
2013-09-25,4851490.55,4336304.71,Train,2013,9,25,2,0,3,0,0,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0,0,1,4673257.46,4051335.39,4460453.69,3992756.75,4636476.74,4075727.91,3465971.03,4845153.03,5639897.53,4502395.62
2013-09-26,4120039.5,3761711.17,Train,2013,9,26,3,0,3,0,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0,0,1,4851490.55,4336304.71,2995364.48,2599191.98,3865949.23,3502787.78,3008572.56,3950990.04,4592282.59,3670417.04
2013-09-27,4676571.41,4202205.54,Train,2013,9,27,4,0,3,0,0,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,0,0,1,4120039.5,3761711.17,3316913.08,3045593.87,3034568.95,2783517.1,3749158.5,4845899.79,7556892.66,6017108.13
2013-09-28,7035889.97,6246182.51,Train,2013,9,28,5,1,3,0,0,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,0,0,1,4676571.41,4202205.54,3799564.88,3399323.86,3664631.38,3289032.18,6385124.62,8251851.88,4892631.14,3884590.92
2013-09-29,5087376.98,4359895.07,Train,2013,9,29,6,1,3,0,0,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,0,0,1,7035889.97,6246182.51,3243304.2,2980813.06,3078369.62,2753095.6,5499141.72,7247803.25,5304374.46,4170120.63
2013-09-30,5768935.23,5117966.77,Train,2013,9,30,0,0,3,0,1,-1.0,-1.8369701987210297e-16,0.0,1.0,0,0,1,5087376.98,4359895.07,4426354.9,3977701.82,3927167.34,3489729.16,6810100.27,8325085.12,4694379.86,3812737.52
2013-10-01,5389130.81,4591599.54,Train,2013,10,1,1,0,4,1,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0,0,1,5768935.23,5117966.77,4673257.46,4051335.39,5410121.46,4728526.43,6018993.92,6937336.62,4752532.1,3764447.04
2013-10-02,5393969.29,4651419.05,Train,2013,10,2,2,0,4,0,0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0,0,1,5389130.81,4591599.54,4851490.55,4336304.71,4460453.69,3992756.75,5386759.65,5986639.99,3233135.78,2566510.62
2013-10-03,2026611.74,1672946.51,Train,2013,10,3,3,0,4,0,0,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0,0,0,5393969.29,4651419.05,4120039.5,3761711.17,2995364.48,2599191.98,4126941.12,3701795.41,3515132.03,2762823.63
2013-10-04,2912944.43,2284930.64,Train,2013,10,4,4,0,4,0,0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,0,0,2026611.74,1672946.51,4676571.41,4202205.54,3316913.08,3045593.87,5401049.96,4808183.3,2398137.74,1902425.74
2013-10-05,2463961.82,1952842.64,Train,2013,10,5,5,1,4,0,0,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0,0,0,2912944.43,2284930.64,7035889.97,6246182.51,3799564.88,3399323.86,3168900.6,2729766.04,2665953.06,2064899.19
2013-10-06,2875234.12,2170808.86,Train,2013,10,6,6,1,4,0,0,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0,0,0,2463961.82,1952842.64,5087376.98,4359895.07,3243304.2,2980813.06,2705040.33,2367475.06,2205266.94,1755004.4
2013-10-07,2084519.3,1674894.34,Train,2013,10,7,0,0,4,0,0,-0.8660254037844386,0.5000000000000001,0.0,1.0,0,0,0,2875234.12,2170808.86,5768935.23,5117966.77,4426354.9,3977701.82,2468479.29,2187848.67,3389598.07,2725469.75
